N_,1.775
N_P,4.906
N_Ppg,6.126
N_PpgG,11.769
N_PpgGgf,12.669
N_PpgGgfF,18.895
N_PpgGgfFfb,21.581
N_PpgGgfFfbB,27.560
N_PpgGgfFfbBba,29.539
N_PpgGgfFfbBbaA,35.578
N_PpgGgfFfbBbaAac,38.608
N_PpgGgfFfbBbaAacC,44.261
N_PpgGgfFfbBbaAacCcd,46.990
N_PpgGgfFfbBbaAacCcdD,52.678
N_PpgGgfFfbBbaAacCcdDde,54.881
N_PpgGgfFfbBbaAacCcdDdeE,61.132
N_PpgGgfFfbBbaAacCcdDdeEC_,63.544
P,3.149
Ppg,4.369
PpgG,10.012
PpgGgf,10.912
PpgGgfF,17.138
PpgGgfFfb,19.823
PpgGgfFfbB,25.803
PpgGgfFfbBba,27.782
PpgGgfFfbBbaA,33.821
PpgGgfFfbBbaAac,36.851
PpgGgfFfbBbaAacC,42.504
PpgGgfFfbBbaAacCcd,45.233
PpgGgfFfbBbaAacCcdD,50.921
PpgGgfFfbBbaAacCcdDde,53.124
PpgGgfFfbBbaAacCcdDdeE,59.375
PpgGgfFfbBbaAacCcdDdeEC_,61.787
pg,1.238
pgG,6.882
pgGgf,7.782
pgGgfF,14.008
pgGgfFfb,16.693
pgGgfFfbB,22.673
pgGgfFfbBba,24.651
pgGgfFfbBbaA,30.691
pgGgfFfbBbaAac,33.720
pgGgfFfbBbaAacC,39.374
pgGgfFfbBbaAacCcd,42.103
pgGgfFfbBbaAacCcdD,47.790
pgGgfFfbBbaAacCcdDde,49.994
pgGgfFfbBbaAacCcdDdeE,56.245
pgGgfFfbBbaAacCcdDdeEC_,58.656
G,5.661
Ggf,6.561
GgfF,12.787
GgfFfb,15.472
GgfFfbB,21.452
GgfFfbBba,23.431
GgfFfbBbaA,29.470
GgfFfbBbaAac,32.500
GgfFfbBbaAacC,38.153
GgfFfbBbaAacCcd,40.882
GgfFfbBbaAacCcdD,46.570
GgfFfbBbaAacCcdDde,48.773
GgfFfbBbaAacCcdDdeE,55.024
GgfFfbBbaAacCcdDdeEC_,57.436
gf,0.918
gfF,7.144
gfFfb,9.829
gfFfbB,15.809
gfFfbBba,17.787
gfFfbBbaA,23.827
gfFfbBbaAac,26.857
gfFfbBbaAacC,32.510
gfFfbBbaAacCcd,35.239
gfFfbBbaAacCcdD,40.926
gfFfbBbaAacCcdDde,43.130
gfFfbBbaAacCcdDdeE,49.381
gfFfbBbaAacCcdDdeEC_,51.793
F,6.244
Ffb,8.929
FfbB,14.909
FfbBba,16.887
FfbBbaA,22.927
FfbBbaAac,25.957
FfbBbaAacC,31.610
FfbBbaAacCcd,34.339
FfbBbaAacCcdD,40.026
FfbBbaAacCcdDde,42.230
FfbBbaAacCcdDdeE,48.481
FfbBbaAacCcdDdeEC_,50.893
fb,2.703
fbB,8.683
fbBba,10.661
fbBbaA,16.701
fbBbaAac,19.730
fbBbaAacC,25.384
fbBbaAacCcd,28.113
fbBbaAacCcdD,33.800
fbBbaAacCcdDde,36.004
fbBbaAacCcdDdeE,42.255
fbBbaAacCcdDdeEC_,44.667
B,5.998
Bba,7.976
BbaA,14.016
BbaAac,17.045
BbaAacC,22.699
BbaAacCcd,25.428
BbaAacCcdD,31.115
BbaAacCcdDde,33.319
BbaAacCcdDdeE,39.570
BbaAacCcdDdeEC_,41.982
ba,1.996
baA,8.036
baAac,11.065
baAacC,16.719
baAacCcd,19.448
baAacCcdD,25.135
baAacCcdDde,27.339
baAacCcdDdeE,33.590
baAacCcdDdeEC_,36.002
A,6.058
Aac,9.087
AacC,14.741
AacCcd,17.470
AacCcdD,23.157
AacCcdDde,25.361
AacCcdDdeE,31.612
AacCcdDdeEC_,34.023
ac,3.047
acC,8.701
acCcd,11.430
acCcdD,17.117
acCcdDde,19.321
acCcdDdeE,25.572
acCcdDdeEC_,27.984
C,5.671
Ccd,8.400
CcdD,14.088
CcdDde,16.291
CcdDdeE,22.542
CcdDdeEC_,24.954
cd,2.747
cdD,8.435
cdDde,10.638
cdDdeE,16.889
cdDdeEC_,19.301
D,5.705
Dde,7.909
DdeE,14.160
DdeEC_,16.572
de,2.222
deE,8.473
deEC_,10.884
E,6.269
EC_,8.681
C_,2.430
